Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/896/0805-%282012-Metric%29-1%2C52mm.jpg","478-5722-2-ND,478-5722-1-ND,478-5722-6-ND","KGM21AR71C475KU","KYOCERA AVX","KYOCERA AVX","CAP CER 4.7UF 16V X7R 0805","135,247","0.43","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","4.7 µF","±10%","16V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","-","0.057"" (1.45mm)","-","-"
"https://datasheets.kyocera-avx.com/LD-Series.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/896/0805-%282012-Metric%29-1%2C52mm.jpg","478-LD05YC475KAB2ATR-ND,478-LD05YC475KAB2ACT-ND,478-LD05YC475KAB2ADKR-ND","LD05YC475KAB2A","KYOCERA AVX","KYOCERA AVX","CAP CER 4.7UF 16V X7R 0805","7,860","8.95","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","LD","Active","4.7 µF","±10%","16V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.060"" (1.52mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/924/0805-%282012-Metric%29-0%2C94mm.jpg","478-KGM21NR71C473KTTR-ND,478-KGM21NR71C473KTCT-ND,478-KGM21NR71C473KTDKR-ND","KGM21NR71C473KT","KYOCERA AVX","KYOCERA AVX","CAP CER 0.047UF 16V X7R 0805","26,055","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","0.047 µF","±10%","16V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","-","0.039"" (1.00mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/924/0805-%282012-Metric%29-0%2C94mm.jpg","478-KGM21NR71C103KTTR-ND,478-KGM21NR71C103KTCT-ND,478-KGM21NR71C103KTDKR-ND","KGM21NR71C103KT","KYOCERA AVX","KYOCERA AVX","CAP CER 10000PF 16V X7R 0805","33,247","0.14","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","10000 pF","±10%","16V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","-","0.039"" (1.00mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/478_0805-%282012-Metric%29-1%2C40mm.jpg","478-KGM21AR71C105KUTR-ND,478-KGM21AR71C105KUCT-ND,478-KGM21AR71C105KUDKR-ND","0805YC105KAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 1UF 16V X7R 0805","488,311","0.16","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","1 µF","±10%","16V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","-","0.057"" (1.45mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/478_0805-%282012-Metric%29-1%2C40mm.jpg","478-KGM21AR71C474KUTR-ND,478-KGM21AR71C474KUCT-ND,478-KGM21AR71C474KUDKR-ND","KGM21AR71C474KU","KYOCERA AVX","KYOCERA AVX","CAP CER 0.47UF 16V X7R 0805","51,004","0.18","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","0.47 µF","±10%","16V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","-","0.057"" (1.45mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/478_0805-%282012-Metric%29-1%2C40mm.jpg","478-KGM21AR71C334KUTR-ND,478-KGM21AR71C334KUCT-ND,478-KGM21AR71C334KUDKR-ND","KGM21AR71C334KU","KYOCERA AVX","KYOCERA AVX","CAP CER 0.33UF 16V X7R 0805","106,855","0.21","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","0.33 µF","±10%","16V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","-","0.057"" (1.45mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/924/0805-%282012-Metric%29-0%2C94mm.jpg","478-KGM21NR71C104MTTR-ND,478-KGM21NR71C104MTCT-ND,478-KGM21NR71C104MTDKR-ND","KGM21NR71C104MT","KYOCERA AVX","KYOCERA AVX","CAP CER 0.1UF 16V X7R 0805","45,351","0.21","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","0.1 µF","±20%","16V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","-","0.039"" (1.00mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/924/0805-%282012-Metric%29-0%2C94mm.jpg","478-KGM21AR71C224KUTR-ND,478-KGM21AR71C224KUCT-ND,478-KGM21AR71C224KUDKR-ND","KGM21AR71C224KU","KYOCERA AVX","KYOCERA AVX","CAP CER 0.22UF 16V X7R 0805","16,685","0.21","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","0.22 µF","±10%","16V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","-","0.057"" (1.45mm)","-","-"
"https://datasheets.kyocera-avx.com/AutoMLCCKAM.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/924/0805-%282012-Metric%29-0%2C94mm.jpg","478-KAM21BR71C104MTTR-ND,478-KAM21BR71C104MTCT-ND,478-KAM21BR71C104MTDKR-ND","KAM21BR71C104MT","KYOCERA AVX","KYOCERA AVX","CAP CER 0.1UF 16V X7R 0805","13,081","0.22","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","0.1 µF","±20%","16V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.037"" (0.94mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/924/0805-%282012-Metric%29-0%2C94mm.jpg","478-KGM21NR71C104KTTR-ND,478-KGM21NR71C104KTCT-ND,478-KGM21NR71C104KTDKR-ND","KGM21NR71C104KT","KYOCERA AVX","KYOCERA AVX","CAP CER 0.1UF 16V X7R 0805","24,550","0.23","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","0.1 µF","±10%","16V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","-","0.039"" (1.00mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/478_0805-%282012-Metric%29-1%2C40mm.jpg","478-KGM21AR71C105JUTR-ND,478-KGM21AR71C105JUCT-ND,478-KGM21AR71C105JUDKR-ND","0805YC105JAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 1UF 16V X7R 0805","25,227","0.27","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","1 µF","±5%","16V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","-","0.057"" (1.45mm)","-","-"
